"display_title" "opening_date" "publication_date" "url" "mpaa_rating" "critics_pick"
"245" "Lemon" "2017-08-18" "2017-08-23" "http://www.nytimes.com/2017/08/23/movies/lemon-review.html" "" 0
"246" "Let It Fall: L.A. 1982-1992" "2017-04-28" "2017-04-20" "http://www.nytimes.com/2017/04/20/movies/let-it-fall-review-john-ridley.html" "" 1
"247" "Letters from Baghdad" "2017-06-02" "2017-05-31" "http://www.nytimes.com/2017/05/31/movies/letters-from-baghdad-gertrude-bell-review.html" "" 0
"248" "Life" "2017-03-24" "2017-03-23" "http://www.nytimes.com/2017/03/23/movies/life-review-jake-gyllenhaal-ryan-reynolds.html" "R" 0
"249" "Little Boxes" "2017-04-14" "2017-04-13" "http://www.nytimes.com/2017/04/13/movies/little-boxes-review.html" "" 0
"250" "Live by Night" "2017-01-13" "2016-12-22" "http://www.nytimes.com/2016/12/22/movies/live-by-night-ben-affleck.html" "R" 0
"251" "Live Cargo" "2017-03-31" "2017-03-30" "http://www.nytimes.com/2017/03/30/movies/live-cargo-review.html" "" 0
"252" "Liza, Liza, Skies Are Grey" "2017-02-02" "2017-08-16" "http://www.nytimes.com/2017/08/16/movies/liza-liza-skies-are-grey-review.html" "" 0
"253" "Logan" "2017-03-03" "2017-03-02" "http://www.nytimes.com/2017/03/02/movies/logan-review-hugh-jackman-wolverine-x-men.html" "R" 0
"254" "Logan Lucky" "2017-08-18" "2017-08-16" "http://www.nytimes.com/2017/08/16/movies/review-logan-lucky-steven-soderbergh-and-his-motley-band-of-thieves.html" "PG-13" 1
"255" "Long Strange Trip" "2017-05-26" "2017-05-25" "http://www.nytimes.com/2017/05/25/movies/long-strange-trip-review-grateful-dead.html" "R" 1
"256" "Lost in Florence" "2017-01-27" "2017-01-26" "http://www.nytimes.com/2017/01/26/movies/lost-in-florence-review.html" "" 0
"257" "Love Beats Rhymes" "2017-12-01" "2017-11-30" "http://www.nytimes.com/2017/11/30/movies/love-beats-rhymes-azealia-banks-rza.html" "R" 0
"258" "Lovesong" "2017-02-17" "2017-02-16" "http://www.nytimes.com/2017/02/16/movies/lovesong-review.html" "" 1
"259" "Loving Vincent" "2017-09-22" "2017-09-21" "http://www.nytimes.com/2017/09/21/movies/loving-vincent-review-van-gogh.html" "PG-13" 0
"260" "Lowriders" "2017-05-12" "2017-05-10" "http://www.nytimes.com/2017/05/10/movies/review-cars-and-culture-clashes-in-lowriders.html" "PG-13" 0
"261" "Lucky" "2017-09-29" "2017-09-28" "http://www.nytimes.com/2017/09/28/movies/lucky-review-harry-dean-stanton.html" "" 1
"262" "Manifesto" "2017-05-10" "2017-05-09" "http://www.nytimes.com/2017/05/09/movies/manifesto-review-cate-blanchett.html" "" 1
"263" "Manolo: The Boy Who Made Shoes for Lizards" "2017-09-15" "2017-09-14" "http://www.nytimes.com/2017/09/14/movies/manolo-blahnik-documentary-review.html" "" 0
"264" "Marie Curie" "2017-06-30" "2017-06-29" "http://www.nytimes.com/2017/06/29/movies/marie-curie-review.html" "" 0
"265" "Mark Felt: The Man Who Brought Down the White House" "2017-09-29" "2017-09-28" "http://www.nytimes.com/2017/09/28/movies/mark-felt-the-man-who-brought-down-the-white-house-review-liam-neeson.html" "PG-13" 0
"266" "Marshall" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/marshall-review-chadwick-boseman.html" "PG-13" 0
"267" "Master" "2017-01-06" "2017-01-05" "http://www.nytimes.com/2017/01/05/movies/master-review.html" "" 0
"268" "Maya Dardel" "2017-10-27" "2017-10-26" "http://www.nytimes.com/2017/10/26/movies/maya-dardel-review-lena-olin.html" "" 0
"269" "Mayhem" "2017-11-10" "2017-11-09" "http://www.nytimes.com/2017/11/09/movies/mayhem-review-steven-yeun.html" "Not Rated" 0
"270" "Mean Dreams" "2017-03-17" "2017-03-16" "http://www.nytimes.com/2017/03/16/movies/mean-dreams-review-bill-paxton.html" "R" 0
"271" "Megan Leavey" "2017-06-09" "2017-06-08" "http://www.nytimes.com/2017/06/08/movies/megan-leavey-review-kate-mara.html" "PG-13" 1
"272" "Menashe" "2017-07-28" "2017-07-27" "http://www.nytimes.com/2017/07/27/movies/menashe-review.html" "PG" 1
"273" "Midsummer in Newtown" "2017-01-27" "2017-01-26" "http://www.nytimes.com/2017/01/26/movies/midsummer-in-newtown-review.html" "" 0
"274" "Miles" "2017-06-09" "2017-06-08" "http://www.nytimes.com/2017/06/08/movies/miles-review.html" "" 0
"275" "Miss Kiet's Children" "2017-12-13" "2017-12-12" "http://www.nytimes.com/2017/12/12/movies/review-in-miss-kiets-children-refugees-adjust-to-dutch-life.html" "" 0
"276" "Mister Universo" "2017-07-21" "2017-07-20" "http://www.nytimes.com/2017/07/20/movies/mister-universo-review.html" "" 1
"277" "Monster Trucks" "2017-01-13" "2017-01-12" "http://www.nytimes.com/2017/01/12/movies/monster-trucks-review.html" "PG" 1
"278" "Moscow Never Sleeps" "2017-06-09" "2017-06-08" "http://www.nytimes.com/2017/06/08/movies/moscow-never-sleeps-review.html" "" 0
"279" "Most Beautiful Island" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/most-beautiful-island-review.html" "" 1
"280" "Mother!" "2017-09-15" "2017-09-13" "http://www.nytimes.com/2017/09/13/movies/mother-review-jennifer-lawrence-darren-aronofsky.html" "R" 0
"281" "Mr. Chibbs" "2017-05-03" "2017-05-02" "http://www.nytimes.com/2017/05/02/movies/mr-chibbs-review-kenny-anderson.html" "" 0
"282" "Mr. Gaga" "2017-02-01" "2017-01-31" "http://www.nytimes.com/2017/01/31/movies/mr-gaga-review-ohad-naharin.html" "" 0
"283" "Mr. Roosevelt" "2017-11-22" "2017-11-21" "http://www.nytimes.com/2017/11/21/movies/mr-roosevelt-review-noel-wells.html" "" 0
"284" "Mudbound" "2017-11-17" "2017-11-16" "http://www.nytimes.com/2017/11/16/movies/mudbound-review-dee-rees.html" "R" 1
"285" "Mully" "2017-10-27" "2017-10-26" "http://www.nytimes.com/2017/10/26/movies/mully-review.html" "" 0
"286" "Murder on the Orient Express" "2017-11-10" "2017-11-08" "http://www.nytimes.com/2017/11/08/movies/murder-on-the-orient-express-review-kenneth-branagh.html" "PG-13" 0
"287" "My Friend Dahmer" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/review-my-friend-dahmer-the-boy-who-became-a-cannibal.html" "R" 0
"288" "My Life as a Zucchini" "2017-02-24" "2017-02-23" "http://www.nytimes.com/2017/02/23/movies/my-life-as-a-zucchini-review.html" "PG-13" 0
"289" "My Name Is Emily" "2017-02-17" "2017-02-16" "http://www.nytimes.com/2017/02/16/movies/my-name-is-emily-review.html" "" 0
"290" "My Scientology Movie" "2017-03-10" "2017-03-08" "http://www.nytimes.com/2017/03/08/movies/my-scientology-movie-review.html" "Not Rated" 0
"291" "Nakom" "2017-03-03" "2017-03-02" "http://www.nytimes.com/2017/03/02/movies/nakom-review.html" "" 0
"292" "Naples '44" "2017-11-29" "2017-11-28" "http://www.nytimes.com/2017/11/28/movies/review-naples-44.html" "" 0
"293" "Natasha" "2017-04-28" "2017-04-27" "http://www.nytimes.com/2017/04/27/movies/natasha-review.html" "" 0
"294" "Never Here" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/never-here-review.html" "R" 0
"295" "Nise: The Heart of Madness" "2017-04-28" "2017-04-27" "http://www.nytimes.com/2017/04/27/movies/nise-review.html" "" 1
"296" "No Dress Code Required" "2017-11-03" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/no-dress-code-required-review.html" "" 0
"297" "Nobody Speak: Trials of the Free Press" "2017-06-23" "2017-06-22" "http://www.nytimes.com/2017/06/22/movies/nobody-speak-the-trials-of-the-free-press-review.html" "" 0
"298" "Nobody's Watching" "2017-09-08" "2017-09-07" "http://www.nytimes.com/2017/09/07/movies/nobodys-watching-review.html" "" 1
"299" "Nocturama" "2017-08-11" "2017-08-10" "http://www.nytimes.com/2017/08/10/movies/nocturama-review-bertrand-bonello.html" "" 0
"300" "Norman" "2017-04-14" "2017-04-13" "http://www.nytimes.com/2017/04/13/movies/norman-review-richard-gere.html" "R" 1
"301" "Nowhere to Hide" "2017-06-23" "2017-06-22" "http://www.nytimes.com/2017/06/22/movies/nowhere-to-hide-review.html" "" 1
"302" "Okja" "2017-06-28" "2017-06-27" "http://www.nytimes.com/2017/06/27/movies/review-okja-bong-joon-ho.html" "" 1
"303" "Once Upon a Time in Venice" "2017-06-16" "2017-06-15" "http://www.nytimes.com/2017/06/15/movies/review-once-upon-a-time-in-venice-unleashes-a-bland-bruce-willis.html" "" 0
"304" "One of Us" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/one-of-us-review.html" "" 0
"305" "One Piece Film: Gold" "2017-01-10" "2017-01-09" "http://www.nytimes.com/2017/01/09/movies/review-one-piece-film-gold-a-frantic-hunt-for-pirate-loot.html" "" 0
"306" "Only the Brave" "2017-10-20" "2017-10-19" "http://www.nytimes.com/2017/10/19/movies/only-the-brave-review-josh-brolin.html" "PG-13" 1
"307" "Our Souls at Night" "2017-09-29" "2017-09-27" "http://www.nytimes.com/2017/09/27/movies/our-souls-at-night-review-robert-redford-jane-fonda.html" "" 0
"308" "Overdrive" "2017-10-06" "2017-10-05" "http://www.nytimes.com/2017/10/05/movies/overdrive-review-scott-eastwood.html" "PG-13" 0
"309" "Paint It Black" "2017-05-19" "2017-05-18" "http://www.nytimes.com/2017/05/18/movies/paint-it-black-review-amber-tamblyn.html" "" 0
"310" "Paraguay Remembered" "2017-02-24" "2017-02-23" "http://www.nytimes.com/2017/02/23/movies/paraguay-remembered-review.html" "" 0
"311" "Paris Can Wait" "2017-05-12" "2017-05-10" "http://www.nytimes.com/2017/05/10/movies/paris-can-wait-review.html" "PG" 0
"312" "Past Life" "2017-06-02" "2017-06-01" "http://www.nytimes.com/2017/06/01/movies/past-life-review.html" "" 0
"313" "Patriots Day" "2017-01-13" "2016-12-20" "http://www.nytimes.com/2016/12/20/movies/patriots-day-boston-marathon-review.html" "R" 0
"314" "Patti Cake$" "2017-08-18" "2017-08-17" "http://www.nytimes.com/2017/08/17/movies/patti-cakes-review.html" "R" 0
"315" "Paulina" "2017-06-23" "2017-06-22" "http://www.nytimes.com/2017/06/22/movies/paulina-review.html" "" 0
"316" "Pearl Jam: Let's Play Two" "2017-09-29" "2017-09-28" "http://www.nytimes.com/2017/09/28/movies/lets-play-two-review-pearl-jam-eddie-vedder.html" "" 0
"317" "Permanent" "2017-12-15" "2017-12-15" "http://www.nytimes.com/2017/12/15/movies/permanent-review-patricia-arquette.html" "PG-13" 0
"318" "Person to Person" "2017-07-28" "2017-07-27" "http://www.nytimes.com/2017/07/27/movies/person-to-person-review.html" "" 0
"319" "Personal Shopper" "2017-03-10" "2017-03-09" "http://www.nytimes.com/2017/03/09/movies/personal-shopper-review-kristen-stewart.html" "R" 1
"320" "Phantom Thread" "2017-12-25" "2017-12-24" "http://www.nytimes.com/2017/12/24/movies/phantom-thread-review-daniel-day-lewis.html" "R" 1
"321" "Phillauri" "2017-03-24" "2017-03-26" "http://www.nytimes.com/2017/03/26/movies/phillauri-review.html" "" 0
"322" "Pilgrimage" "2017-08-11" "2017-08-10" "http://www.nytimes.com/2017/08/10/movies/pilgrimage-review.html" "" 0
"323" "Pirates of the Caribbean: Dead Men Tell No Tales" "2017-05-26" "2017-05-25" "http://www.nytimes.com/2017/05/25/movies/pirates-of-the-caribbean-dead-men-tell-no-tales-review-johnny-depp.html" "PG-13" 0
"324" "Pitch Perfect 3" "2017-12-22" "2017-12-20" "http://www.nytimes.com/2017/12/20/movies/pitch-perfect-3-review-anna-kendrick.html" "PG-13" 0
"325" "Planetarium" "2017-08-11" "2017-08-10" "http://www.nytimes.com/2017/08/10/movies/planetarium-review-natalie-portman.html" "" 0
"326" "Power Rangers" "2017-03-24" "2017-03-23" "http://www.nytimes.com/2017/03/23/movies/sabans-power-rangers-review.html" "PG-13" 0
"327" "Prevenge" "2017-03-24" "2017-03-22" "http://www.nytimes.com/2017/03/22/movies/prevenge-review.html" "" 1
"328" "Professor Marston and the Wonder Women" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/professor-marston-and-the-wonder-woman-review.html" "R" 1
"329" "Quest" "2017-12-08" "2017-12-07" "http://www.nytimes.com/2017/12/07/movies/quest-review-philadelphia-documentary.html" "" 1
"330" "Radio Dreams" "2017-05-19" "2017-05-31" "http://www.nytimes.com/2017/05/31/movies/radio-dreams-review.html" "" 1
"331" "Raees" "2017-01-25" "2017-01-26" "http://www.nytimes.com/2017/01/26/movies/raes-review-shah-rukh-khan.html" "" 1
"332" "Railroad Tigers" "2017-01-06" "2017-01-05" "http://www.nytimes.com/2017/01/05/movies/railroad-tigers-review-jackie-chan.html" "" 0
"333" "Raw" "2017-03-10" "2017-03-09" "http://www.nytimes.com/2017/03/09/movies/raw-review.html" "R" 1
"334" "Realive" "2017-09-29" "2017-09-28" "http://www.nytimes.com/2017/09/28/movies/realive-review.html" "" 0
"335" "Rebel in the Rye" "2017-09-15" "2017-09-07" "http://www.nytimes.com/2017/09/07/movies/rebel-in-the-rye-review-jd-salinger.html" "PG-13" 0
"336" "Rebels on Pointe" "2017-09-15" "2017-11-15" "http://www.nytimes.com/2017/11/15/movies/rebels-on-pointe-review.html" "" 0
"337" "Rememory" "2017-08-24" "2017-09-07" "http://www.nytimes.com/2017/09/07/movies/rememory-review-peter-dinklage.html" "PG-13" 0
"338" "Reset" "2017-01-13" "2017-01-12" "http://www.nytimes.com/2017/01/12/movies/reset-review-benjamin-millepied.html" "" 1
"339" "Reset" "2017-06-30" "2017-06-29" "http://www.nytimes.com/2017/06/29/movies/reset-review.html" "" 0
"340" "Resident Evil: The Final Chapter" "2017-01-27" "2017-01-26" "http://www.nytimes.com/2017/01/26/movies/resident-evil-review-the-final-chapter.html" "R" 0
"341" "Restless Creature: Wendy Whelan" "2017-05-24" "2017-05-23" "http://www.nytimes.com/2017/05/23/movies/restless-creature-review-wendy-whelan.html" "" 1
"342" "Rings" "2017-02-03" "2017-02-03" "http://www.nytimes.com/2017/02/03/movies/rings-review.html" "PG-13" 0
"343" "Risk" "2017-05-05" "2017-05-04" "http://www.nytimes.com/2017/05/04/movies/risk-review-julian-assange-laura-poitras.html" "" 0
"344" "Rock Dog" "2017-02-24" "2017-02-23" "http://www.nytimes.com/2017/02/23/movies/rock-dog-review.html" "PG" 0
"345" "Roman J. Israel, Esq." "2017-11-22" "2017-11-16" "http://www.nytimes.com/2017/11/16/movies/roman-j-israel-review-denzel-washington.html" "PG-13" 0
